transcript_id,human_audit_rating
1363029,F
216226,F
1830131,F
505866,F
944740,F
2937991,F
118374,F
1214907,F
342113,F
920517,F
1211921,T
2928729,F
214063,F
495426,U
765047,F
2522738,F
1141645,F
1573803,F
1881031,F
404938,T
1096209,F
3378079,T
1050983,F
1072176,F
1361601,F
1361608,F
2668267,F
336077,F
733098,F
956775,T
2277552,U
2726157,F
2787174,F
293272,F
412697,F
730670,T
2643548,T
1483070,T
2177287,F
2542336,F
2712179,T
289253,T
298264,T
334127,T
449585,F
1349253,F
892124,F
894445,T
1699709,T
1760336,F
3027289,T
3115549,T
3350855,F
165554,F
194528,T
429135,T
126,T
25234,T
580328,F
1758115,F
1885713,T
1207393,U
1582809,F
1654491,F
1824664,F
2128671,T
2485031,F
2905038,T
7848,T
10050,T
12678,T
264290,T
452046,F
10214,T
5248,T
5523,F
39416,F
55091,F
351067,F
378296,F
913803,F
917795,F
985332,F
1264077,T
1692312,F
2095511,F
2152597,F
2739075,F
2901992,F
20815,T
2713313,F
3414470,T
497576,U
655045,F
15177,T
20469,F
354335,F
396821,F
523683,T
798059,F
1379069,T
2075913,F
2485834,U
2502434,U
2736154,T
2917950,F
3382503,F
340233,T
12975,F
3396938,T
2593,T
310814,F
415473,T
437312,T
954401,T
1325672,F
1371660,F
1476206,F
1759220,T
2441805,F
2915383,F
3009866,U
2255899,U
3288284,U
20524,U
44561,T
166425,F
279438,U
629465,F
737696,F
742447,F
1999579,T
799427,U
1071380,F
1381858,T
1694507,F
1781438,F
1846271,T
2482418,U
2526376,F
2619657,F
2624413,F
2695393,F
2695629,F
3147078,T
3167938,F
3229469,T
3351165,F
1596848,U
2202184,U
194673,T
260183,F
474235,U
479563,T
548990,F
793944,F
3066379,F
1412015,F
1488636,F
1504897,T
1511075,F
1635420,T
1934728,F
2093218,F
2309051,F
2333245,U
2389065,F
2411829,F
2491617,F
2565640,T
2773842,F
2866200,F
2871380,T
2965166,T
3031421,U
3097071,F
3304840,F
3376471,F
3376792,F
1135683,U
1031274,F
1573533,F
2353104,F
14455,T
280634,T
427655,T
455840,U
484273,F
546681,F
626708,U
748446,F
779512,F
987479,T
999318,T
1007286,F
1692614,F
1743381,T
1764093,F
1865277,F
1874972,F
1891463,F
2089561,U
2224498,F
2379164,U
2418063,F
