giccd,gicdesc,gictype,level
00000010,Energy,GSECTOR,2
00001010,Energy,GGROUP,4
00101010,Energy Equipment & Services,GIND,6
10101010,Oil & Gas Drilling,GSUBIND,8
10101020,Oil & Gas Equipment & Services,GSUBIND,8
00101020,"Oil, Gas & Consumable Fuels",GIND,6
10102010,Integrated Oil & Gas,GSUBIND,8
10102020,Oil & Gas Exploration & Production,GSUBIND,8
10102030,Oil & Gas Refining & Marketing,GSUBIND,8
10102040,Oil & Gas Storage & Transportation,GSUBIND,8
10102050,Coal & Consumable Fuels,GSUBIND,8
00000015,Materials,GSECTOR,2
00001510,Materials,GGROUP,4
00151010,Chemicals,GIND,6
15101010,Commodity Chemicals,GSUBIND,8
15101020,Diversified Chemicals,GSUBIND,8
15101030,Fertilizers & Agricultural Chemicals,GSUBIND,8
15101040,Industrial Gases,GSUBIND,8
15101050,Specialty Chemicals,GSUBIND,8
00151020,Construction Materials,GIND,6
15102010,Construction Materials,GSUBIND,8
00151030,Containers & Packaging,GIND,6
15103010,Metal & Glass Containers,GSUBIND,8
15103020,Paper Packaging,GSUBIND,8
00151040,Metals & Mining,GIND,6
15104010,Aluminum,GSUBIND,8
15104020,Diversified Metals & Mining,GSUBIND,8
15104030,Gold,GSUBIND,8
15104040,Precious Metals & Minerals,GSUBIND,8
15104045,Silver,GSUBIND,8
15104050,Steel,GSUBIND,8
00151050,Paper & Forest Products,GIND,6
15105010,Forest Products,GSUBIND,8
15105020,Paper Products,GSUBIND,8
00000020,Industrials,GSECTOR,2
00002010,Capital Goods,GGROUP,4
00201010,Aerospace & Defense,GIND,6
20101010,Aerospace & Defense,GSUBIND,8
00201020,Building Products,GIND,6
20102010,Building Products,GSUBIND,8
00201030,Construction & Engineering,GIND,6
20103010,Construction & Engineering,GSUBIND,8
00201040,Electrical Equipment,GIND,6
20104010,Electrical Components & Equipment,GSUBIND,8
20104020,Heavy Electrical Equipment,GSUBIND,8
00201050,Industrial Conglomerates,GIND,6
20105010,Industrial Conglomerates,GSUBIND,8
00201060,Machinery,GIND,6
20106010,Construction Machinery & Heavy Trucks,GSUBIND,8
20106015,Agricultural & Farm Machinery,GSUBIND,8
20106020,Industrial Machinery,GSUBIND,8
00201070,Trading Companies & Distributors,GIND,6
20107010,Trading Companies & Distributors,GSUBIND,8
00002020,Commercial & Professional Services,GGROUP,4
00202010,Commercial Services & Supplies,GIND,6
20201010,Commercial Printing,GSUBIND,8
20201020,Data Processing Services,GSUBIND,8
20201030,Diversified Commercial & Professional Services,GSUBIND,8
20201040,Human Resource & Employment Services,GSUBIND,8
20201050,Environmental & Facilities Services,GSUBIND,8
20201060,Office Services & Supplies,GSUBIND,8
20201070,Diversified Support Services,GSUBIND,8
20201080,Security & Alarm Services,GSUBIND,8
00202020,Professional Services,GIND,6
20202010,Human Resource & Employment Services,GSUBIND,8
20202020,Research & Consulting Services,GSUBIND,8
00002030,Transportation,GGROUP,4
00203010,Air Freight & Logistics,GIND,6
20301010,Air Freight & Logistics,GSUBIND,8
00203020,Airlines,GIND,6
20302010,Airlines,GSUBIND,8
00203030,Marine,GIND,6
20303010,Marine,GSUBIND,8
00203040,Road & Rail,GIND,6
20304010,Railroads,GSUBIND,8
20304020,Trucking,GSUBIND,8
00203050,Transportation Infrastructure,GIND,6
20305010,Airport Services,GSUBIND,8
20305020,Highways & Railtracks,GSUBIND,8
