sic,sicdesc,level
0100,AGRICULTURAL PRODUCTION-CROPS,3
0110,CASH GRAINS,3
0111,WHEAT,3
0112,RICE,3
0115,CORN,3
0116,SOYBEANS,3
0119,"CASH GRAINS, NEC",3
0130,"FIELD CROPS, EXCEPT CASH GRAINS",3
0131,COTTON,3
0132,TOBACCO,3
0133,SUGARCANE AND SUGAR BEETS,3
0134,IRISH POTATOES,3
0139,"FIELD CROPS, EXCEPT CASH GRAINS, NEC",3
0160,VEGETABLES AND MELONS,3
0161,VEGETABLES AND MELONS,3
0170,FRUITS AND TREE NUTS,3
0171,BERRY CROPS,3
0172,GRAPES,3
0173,TREE NUTS,3
0174,CITRUS FRUITS,3
0175,DECIDUOUS TREE FRUITS,3
0179,"FRUITS AND TREE NUTS, NEC",3
0180,HORTICULTURAL SPECIALTIES,3
0181,ORNAMENTAL FLORICULTURE AND NURSERY PRODUCTS,3
0182,FOOD CROPS GROWN UNDER COVER,3
0189,"HORTICULTURAL SPECIALTIES, NEC",3
0190,"GENERAL FARMS, PRIMARILY CROP",3
0191,"GENERAL FARMS, PRIMARILY CROP",3
0200,AGRICULTURAL PRODUCTION-LIVESTOCK AND ANIMAL SPECIALTIES,3
0210,"LIVESTOCK, EXCEPT DAIRY AND POULTRY",3
0211,BEEF CATTLE FEEDLOTS,3
0212,"BEEF CATTLE, EXCEPT FEEDLOTS",3
0213,HOGS,3
0214,SHEEP AND GOATS,3
0219,"GENERAL LIVESTOCK, EXCEPT DAIRY AND POULTRY",3
0240,DAIRY FARMS,3
0241,DAIRY FARMS,3
0250,POULTRY AND EGGS,3
0251,"BROILER, FRYER, AND ROASTER CHICKENS",3
0252,CHICKEN EGGS,3
0253,TURKEYS AND TURKEY EGGS,3
0254,POULTRY HATCHERIES,3
0259,"POULTRY AND EGGS, NEC",3
0270,ANIMAL SPECIALTIES,3
0271,FUR-BEARING ANIMALS AND RABBITS,3
0272,HORSES AND OTHER EQUINES,3
0273,ANIMAL AQUACULTURE,3
0279,"ANIMAL SPECIALTIES, NEC",3
0290,"GENERAL FARMS, PRIMARILY LIVESTOCK AND ANIMAL SPECIALTIES",3
0291,"GENERAL FARMS, PRIMARILY LIVESTOCK AND ANIMAL SPECIALTIES",3
0700,AGRICULTURAL SERVICES,3
0710,SOIL PREPARATION SERVICES,3
0711,SOIL PREPARATION SERVICES,3
0720,CROP SERVICES,3
0721,"CROP PLANTING, CULTIVATING, AND PROTECTING",3
0722,"CROP HARVESTING, PRIMARILY BY MACHINE",3
0723,"CROP PREPARATION SERVICES FOR MARKET, EXCEPT COTTON GINNING",3
0724,COTTON GINNING,3
0729,GENERAL CROP SERVICES,3
0740,VETERINARY SERVICES,3
0741,VETERINARY SERVICES FOR LIVESTOCK,3
0742,VETERINARY SERVICES FOR ANIMAL SPECIALTIES,3
0750,"ANIMAL SERVICES, EXCEPT VETERINARY",3
0751,"LIVESTOCK SERVICES, EXCEPT VETERINARY",3
0752,"ANIMAL SPECIALTY SERVICES, EXCEPT VETERINARY",3
0760,FARM LABOR AND MANAGEMENT SERVICES,3
0761,FARM LABOR CONTRACTORS AND CREW LEADERS,3
0762,FARM MANAGEMENT SERVICES,3
0780,LANDSCAPE AND HORTICULTURAL SERVICES,3
0781,LANDSCAPE COUNSELING AND PLANNING,3
0782,LAWN AND GARDEN SERVICES,3
0783,ORNAMENTAL SHRUB AND TREE SERVICES,3
0800,FORESTRY,3
0810,TIMBER TRACTS,3
0811,TIMBER TRACTS,3
0820,FOREST NURSERIES AND TREE SEED GATHERING AND EXTRACTING,3
0821,FOREST NURSERIES AND TREE SEED GATHERING AND EXTRACTING,3
0830,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,3
0831,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,3
0840,"GATHERING OF MISCELLANEOUS FOREST PRODUCTS, EXCEPT TREE SEEDS",3
0843,EXTRACTION OF PINE GUM,3
0849,"GATHERING OF FOREST PRODUCTS, NEC",3
0850,FORESTRY SERVICES,3
0851,FORESTRY SERVICES,3
0900,"FISHING, HUNTING, AND TRAPPING",3
0910,COMMERCIAL FISHING,3
0912,FINFISH,3
0913,SHELLFISH,3
0919,MISCELLANEOUS MARINE PRODUCTS,3
0920,FISH HATCHERIES AND PRESERVES,3
0921,FISH HATCHERIES AND PRESERVES,3
0970,"HUNTING AND TRAPPING, AND GAME PROPAGATION",3
0971,"HUNTING AND TRAPPING, AND GAME PROPAGATION",3
1000,METAL MINING,4
1010,IRON ORES,4
1011,IRON ORES,4
1020,COPPER ORES,4
1021,COPPER ORES,4
1030,LEAD AND ZINC ORES,4
1031,LEAD AND ZINC ORES,4
1040,GOLD AND SILVER ORES,4
1041,GOLD ORES,4
1044,SILVER ORES,4
1050,BAUXITE AND OTHER ALUMINUM ORES,4
1051,BAUXITE AND OTHER ALUMINUM ORES,4
1060,"FERROALLOY ORES, EXCEPT VANADIUM",4
1061,"FERROALLOY ORES, EXCEPT VANADIUM",4
1080,METAL MINING SERVICES,4
1081,METAL MINING SERVICES,4
1090,MISCELLANEOUS METAL ORES,4
1092,MERCURY ORES,4
1094,URANIUM-RADIUM-VANADIUM ORES,4
1099,"MISCELLANEOUS METAL ORES, NEC",4
1100,ANTHRACITE MINING,4
1110,ANTHRACITE MINING,4
1111,ANTHRACITE,4
1112,ANTHRACITE MINING SERVICES,4
1200,COAL MINING,4
1210,BITUMINOUS COAL AND LIGNITE MINING,4
1211,BITUMINOUS COAL AND LIGNITE,4
1213,BITUMINOUS COAL AND LIGNITE MINING SERVICES,4
1220,BITUMINOUS COAL AND LIGNITE MINING,4
1221,BITUMINOUS COAL AND LIGNITE SURFACE MINING,4
1222,BITUMINOUS COAL UNDERGROUND MINING,4
1230,ANTHRACITE MINING,4
1231,ANTHRACITE MINING,4
1240,COAL MINING SERVICES,4
1241,COAL MINING SERVICES,4
1300,OIL AND GAS EXTRACTION,4
1310,CRUDE PETROLEUM AND NATURAL GAS,4
1311,CRUDE PETROLEUM AND NATURAL GAS,4
1320,NATURAL GAS LIQUIDS,4
1321,NATURAL GAS LIQUIDS,4
1380,OIL AND GAS FIELD SERVICES,4
1381,DRILLING OIL AND GAS WELLS,4
1382,OIL AND GAS FIELD EXPLORATION SERVICES,4
1389,"OIL AND GAS FIELD SERVICES, NEC",4
1400,"MINING AND QUARRYING OF NONMETALLIC MINERALS, EXCEPT FUELS",4
1410,DIMENSION STONE,4
1411,DIMENSION STONE,4
1420,"CRUSHED AND BROKEN STONE, INCLUDING RIPRAP",4
1422,CRUSHED AND BROKEN LIMESTONE,4
1423,CRUSHED AND BROKEN GRANITE,4
1429,"CRUSHED AND BROKEN STONE, NEC",4
1440,SAND AND GRAVEL,4
1442,CONSTRUCTION SAND AND GRAVEL,4
1446,INDUSTRIAL SAND,4
1450,"CLAY, CERAMIC, AND REFRACTORY MINERALS",4
1452,BENTONITE,4
1453,FIRE CLAY,4
1454,FULLER'S EARTH,4
1455,KAOLIN AND BALL CLAY,4
1459,"CLAY, CERAMIC, AND REFRACTORY MINERALS, NEC",4
1470,CHEMICAL AND FERTILIZER MINERAL MINING,4
1472,BARITE,4
1473,FLUORSPAR,4
1474,"POTASH, SODA, AND BORATE MINERALS",4
1475,PHOSPHATE ROCK,4
1476,ROCK SALT,4
1477,SULFUR,4
1479,"CHEMICAL AND FERTILIZER MINERAL MINING, NEC",4
1480,"NONMETALLIC MINERALS SERVICES, EXCEPT FUELS",4
1481,"NONMETALLIC MINERALS SERVICES, EXCEPT FUELS",4
1490,"MISCELLANEOUS NONMETALLIC MINERALS, EXCEPT FUELS",4
1492,GYPSUM,4
1496,"TALC, SOAPSTONE, AND PYROPHYLLITE",4
1499,"MISCELLANEOUS NONMETALLIC MINERALS, EXCEPT FUELS",4
1500,BUILDING CONSTRUCTION - GENERAL CONTRACTORS & OPERATIVE BUILDERS,4
1520,GENERAL BUILDING CONTRACTORS - RESIDENTIAL BUILDINGS,4
1521,GENERAL CONTRACTORS - SINGLE-FAMILY HOUSES,4
1522,"GENERAL CONTRACTORS-RESIDENTIAL BLDGS, OTHER THAN SINGLE-FAMILY",4
1530,OPERATIVE BUILDERS,4
1531,OPERATIVE BUILDERS,4
1540,GENERAL BUILDING CONTRACTORS - NONRESIDENTIAL BUILDINGS,4
1541,GENERAL CONTRACTORS - INDUSTRIAL BUILDINGS AND WAREHOUSES,4
1542,"GEN CONTRACTORS-NONRES BLDGS, OTHER THAN INDL BLDGS & WAREHSES",4
1600,HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION - CONTRACTORS,4
1610,"HIGHWAY AND STREET CONSTRUCTION, EXCEPT ELEVATED HIGHWAYS",4
1611,"HIGHWAY AND STREET CONSTRUCTION, EXCEPT ELEVATED HIGHWAYS",4
1620,"HEAVY CONSTRUCTION, EXCEPT HIGHWAY AND STREET CONSTRUCTION",4
1622,"BRIDGE, TUNNEL, AND ELEVATED HIGHWAY CONSTRUCTION",4
1623,"WATER, SEWER, PIPELINE, COMMUNICATIONS AND POWER LINE CONSTRUCTION",4
1629,"HEAVY CONSTRUCTION, NEC",4
